state,date,total_cases,daily_cases,daily_cases_per_capita
Alabama,2020-01-23,0.00,0.00,0.00
Alabama,2020-01-24,0.00,0.00,0.00
Alabama,2020-01-25,0.00,0.00,0.00
Alabama,2020-01-26,0.00,0.00,0.00
Alabama,2020-01-27,0.00,0.00,0.00
Alabama,2020-01-28,0.00,0.00,0.00
Alabama,2020-01-29,0.00,0.00,0.00
Alabama,2020-01-30,0.00,0.00,0.00
Alabama,2020-01-31,0.00,0.00,0.00
Alabama,2020-02-01,0.00,0.00,0.00
Alabama,2020-02-02,0.00,0.00,0.00
Alabama,2020-02-03,0.00,0.00,0.00
Alabama,2020-02-04,0.00,0.00,0.00
Alabama,2020-02-05,0.00,0.00,0.00
Alabama,2020-02-06,0.00,0.00,0.00
Alabama,2020-02-07,0.00,0.00,0.00
Alabama,2020-02-08,0.00,0.00,0.00
Alabama,2020-02-09,0.00,0.00,0.00
Alabama,2020-02-10,0.00,0.00,0.00
Alabama,2020-02-11,0.00,0.00,0.00
Alabama,2020-02-12,0.00,0.00,0.00
Alabama,2020-02-13,0.00,0.00,0.00
Alabama,2020-02-14,0.00,0.00,0.00
Alabama,2020-02-15,0.00,0.00,0.00
Alabama,2020-02-16,0.00,0.00,0.00
Alabama,2020-02-17,0.00,0.00,0.00
Alabama,2020-02-18,0.00,0.00,0.00
Alabama,2020-02-19,0.00,0.00,0.00
Alabama,2020-02-20,0.00,0.00,0.00
Alabama,2020-02-21,0.00,0.00,0.00
Alabama,2020-02-22,0.00,0.00,0.00
Alabama,2020-02-23,0.00,0.00,0.00
Alabama,2020-02-24,0.00,0.00,0.00
Alabama,2020-02-25,0.00,0.00,0.00
Alabama,2020-02-26,0.00,0.00,0.00
Alabama,2020-02-27,0.00,0.00,0.00
Alabama,2020-02-28,0.00,0.00,0.00
Alabama,2020-02-29,0.00,0.00,0.00
Alabama,2020-03-01,0.00,0.00,0.00
Alabama,2020-03-02,0.00,0.00,0.00
Alabama,2020-03-03,0.00,0.00,0.00
Alabama,2020-03-04,0.00,0.00,0.00
Alabama,2020-03-05,0.00,0.00,0.00
Alabama,2020-03-06,0.00,0.00,0.00
Alabama,2020-03-07,0.00,0.00,0.00
Alabama,2020-03-08,0.00,0.00,0.00
Alabama,2020-03-09,0.00,0.00,0.00
Alabama,2020-03-10,0.00,0.00,0.00
Alabama,2020-03-11,0.00,0.00,0.00
Alabama,2020-03-12,0.00,0.00,0.00
Alabama,2020-03-13,5.00,5.00,0.10
Alabama,2020-03-14,11.00,6.00,0.12
Alabama,2020-03-15,22.00,11.00,0.22
Alabama,2020-03-16,29.00,7.00,0.14
Alabama,2020-03-17,39.00,10.00,0.20
Alabama,2020-03-18,51.00,12.00,0.24
Alabama,2020-03-19,78.00,27.00,0.55
